Iteration,truthObservation,tempObservation,
0,0.000000,0.000000,
1,30.000000,1478.658901,
2,30.000000,0.000000,
3,60.000000,0.000000,
4,60.000000,0.000000,
5,90.000000,0.000000,
6,90.000000,0.000000,
7,120.000000,0.000000,
8,120.000000,0.000000,
9,150.000000,0.000000,
10,150.000000,0.000000,
11,180.000000,0.000000,
12,180.000000,0.000000,
13,210.000000,0.000000,
14,210.000000,0.000000,
15,240.000000,0.000000,
16,240.000000,0.000000,
17,270.000000,0.000000,
18,270.000000,0.000000,
19,300.000000,0.000000,
20,300.000000,0.000000,
21,330.000000,18846.690231,
22,330.000000,0.000000,
23,360.000000,0.000000,
24,360.000000,0.000000,
25,390.000000,0.000000,
26,390.000000,0.000000,
27,420.000000,0.000000,
28,420.000000,0.000000,
29,450.000000,0.000000,
30,450.000000,0.000000,
31,480.000000,0.000000,
32,480.000000,0.000000,
33,510.000000,0.000000,
34,510.000000,0.000000,
35,540.000000,0.000000,
36,540.000000,0.000000,
37,570.000000,0.000000,
38,570.000000,0.000000,
39,600.000000,0.000000,
40,600.000000,0.000000,
41,630.000000,39591.140095,
42,630.000000,0.000000,
43,660.000000,0.000000,
44,660.000000,0.000000,
45,690.000000,0.000000,
46,690.000000,0.000000,
47,699.000000,0.000000,
48,699.000000,0.000000,
49,699.000000,0.000000,
50,699.000000,0.000000,
51,699.000000,0.000000,
52,699.000000,0.000000,
53,699.000000,0.000000,
54,699.000000,0.000000,
55,699.000000,0.000000,
56,699.000000,0.000000,
57,699.000000,0.000000,
58,699.000000,0.000000,
59,699.000000,0.000000,
60,699.000000,0.000000,
61,699.000000,50970.151785,
62,699.000000,0.000000,
63,699.000000,0.000000,
64,699.000000,0.000000,
65,699.000000,0.000000,
66,699.000000,0.000000,
67,699.000000,0.000000,
68,699.000000,0.000000,
69,699.000000,0.000000,
70,699.000000,0.000000,
71,699.000000,0.000000,
72,699.000000,0.000000,
73,699.000000,0.000000,
74,699.000000,0.000000,
75,699.000000,0.000000,
76,699.000000,0.000000,
77,699.000000,0.000000,
78,699.000000,0.000000,
79,699.000000,0.000000,
80,699.000000,0.000000,
81,699.000000,58900.375550,
82,699.000000,0.000000,
83,699.000000,0.000000,
84,699.000000,0.000000,
85,699.000000,0.000000,
86,699.000000,0.000000,
87,699.000000,0.000000,
88,699.000000,0.000000,
89,699.000000,0.000000,
90,699.000000,0.000000,
91,699.000000,0.000000,
92,699.000000,0.000000,
93,699.000000,0.000000,
94,699.000000,0.000000,
95,699.000000,0.000000,
96,699.000000,0.000000,
97,699.000000,0.000000,
98,699.000000,0.000000,
99,699.000000,0.000000,
100,699.000000,0.000000,
101,699.000000,66830.599315,
102,699.000000,0.000000,
103,699.000000,0.000000,
104,699.000000,0.000000,
105,699.000000,0.000000,
106,699.000000,0.000000,
107,699.000000,0.000000,
108,699.000000,0.000000,
109,699.000000,0.000000,
110,699.000000,0.000000,
111,699.000000,0.000000,
112,699.000000,0.000000,
113,699.000000,0.000000,
114,699.000000,0.000000,
115,699.000000,0.000000,
116,699.000000,0.000000,
117,699.000000,0.000000,
118,699.000000,0.000000,
119,699.000000,0.000000,
120,699.000000,0.000000,
121,699.000000,74760.823080,
122,699.000000,0.000000,
123,699.000000,0.000000,
124,699.000000,0.000000,
125,699.000000,0.000000,
126,699.000000,0.000000,
127,699.000000,0.000000,
128,699.000000,0.000000,
129,699.000000,0.000000,
130,699.000000,0.000000,
131,699.000000,0.000000,
132,699.000000,0.000000,
133,699.000000,0.000000,
134,699.000000,0.000000,
135,699.000000,0.000000,
136,699.000000,0.000000,
137,699.000000,0.000000,
138,699.000000,0.000000,
139,699.000000,0.000000,
140,699.000000,0.000000,
141,699.000000,82691.046845,
142,699.000000,0.000000,
143,699.000000,0.000000,
144,699.000000,0.000000,
145,699.000000,0.000000,
146,699.000000,0.000000,
147,699.000000,0.000000,
148,699.000000,0.000000,
149,699.000000,0.000000,
150,699.000000,0.000000,
151,699.000000,0.000000,
152,699.000000,0.000000,
153,699.000000,0.000000,
154,699.000000,0.000000,
155,699.000000,0.000000,
156,699.000000,0.000000,
157,699.000000,0.000000,
158,699.000000,0.000000,
159,699.000000,0.000000,
160,699.000000,0.000000,
161,699.000000,90621.270609,
162,699.000000,0.000000,
163,699.000000,0.000000,
164,699.000000,0.000000,
165,699.000000,0.000000,
166,699.000000,0.000000,
167,699.000000,0.000000,
168,699.000000,0.000000,
169,699.000000,0.000000,
170,699.000000,0.000000,
171,699.000000,0.000000,
172,699.000000,0.000000,
173,699.000000,0.000000,
174,699.000000,0.000000,
175,699.000000,0.000000,
176,699.000000,0.000000,
177,699.000000,0.000000,
178,699.000000,0.000000,
179,699.000000,0.000000,
180,699.000000,0.000000,
181,699.000000,98551.494374,
182,699.000000,0.000000,
183,699.000000,0.000000,
184,699.000000,0.000000,
185,699.000000,0.000000,
186,699.000000,0.000000,
187,699.000000,0.000000,
