Window,Error,Variance
1,56.567513844264994,2032.0456310061556
2,150.04769777001005,3240.147941709287
3,821.8589683630867,2633.870389508281
4,1121.7447647585416,3090.9156195643914
5,1368.2929078625825,3799.2797209368196
6,1824.9832881060518,4985.087665729442
7,1966.6683721480758,5820.041194969762
8,2640.379729150703,7320.415719989333
9,2577.8669169230348,8070.824540120939
10,2574.4962842679492,8393.575080952369
11,2419.0086751389017,7519.131706552018
12,2519.843876321709,7647.2718503594415
13,2477.7159835357115,6823.460190312431
14,2651.7219382495296,6180.208485696815
15,2903.1359328794847,5631.635876206841
16,3213.721808503414,5323.504959248262
17,3123.291248120708,5130.616273824738
18,2927.5511021855323,4855.808323005578
19,2918.797688854532,4280.775504870386
20,2748.9186190468486,3950.816058897242
