Window,Error,Variance
1,59.952645679708006,2591.6841839659833
2,142.5223895836837,3908.493242971273
3,400.24178569980734,4384.039277829058
4,908.6598955436156,4494.079634278249
5,1284.9755474137403,6411.590827949094
6,1767.231208638072,9154.619876608907
7,1940.2656519962527,10439.04723656097
8,2642.6427284774322,13357.729038950047
9,2532.16245693156,15132.085451423001
10,2511.354427238105,16099.354078839016
11,2374.276556622481,15869.748633936711
12,2531.161361743474,17391.508558902453
13,2534.3917015733523,16234.267030376524
14,2733.8937699647004,15506.867417425876
15,2977.6595095550592,14666.14731695031
16,3216.340955713767,14752.826548969082
17,3060.7489190201263,13987.142025243671
18,2884.799870139468,13783.328518778106
19,2728.5035757925784,13044.339647179837
20,2503.1066072262,12319.982851782339
