Window,Error,Variance
1,49.62852943766781,3718.4745960606706
2,139.1590418781952,5632.415566773626
3,397.07202474525775,6275.878196968524
4,909.8121676697868,6783.13524911179
5,1299.1641312170948,9606.714289461515
6,1775.0225489194854,13097.978787756925
7,1933.8169663895612,14703.148806123947
8,2604.5044626226513,18222.54191067721
9,2494.5380215066407,18879.371755090488
10,2581.918266180004,19780.684595463008
11,2484.8856114763253,18945.31086892546
12,2526.06960067844,20057.88403331809
13,2537.0263987302665,20042.38749624661
14,2737.750113539823,19417.16875281653
15,2966.429424197972,17457.438154843276
16,3287.130913190767,17452.51206935088
17,3091.1964492842744,16815.1843493967
18,2893.315717112206,15981.0339898775
19,2954.7142828980973,15234.669163765764
20,2745.647903227675,13728.703193459345
