Window,Error,Variance
1,899.8965034346166,0.7849852815197462
2,899.1131633285944,1.6307932905327354
3,4.236748303806527,483.1154425114072
4,2.582430683902976,304.4899790966055
5,2.247805718219004,237.32719609638454
6,1.7236129382598524,192.7067498875384
7,3.4249496122372363,154.5184306234034
8,3.480723480062675,142.43010639947386
9,3.3730196340641174,131.5252946628717
10,3.6960201168329068,112.0813795923534
11,3.648538161323098,108.40890207349166
12,3.70712389516568,108.0641589029138
13,3.9319782098662173,100.96012311456299
14,3.9371778419796777,91.09584391705505
15,4.079113544028894,88.23277195126983
16,4.117476056319912,78.34477138199154
17,4.6614819893847725,72.97939558387814
18,4.797791035954065,75.26130210737013
19,4.9720548707490035,71.4972507763301
20,5.348968832381728,70.88723220808146
21,5.678990990331699,71.48706340261437
22,6.034394897876532,71.10440917384247
23,6.138532905984454,67.94118989556245
24,6.417201550711501,58.92559495211806
25,6.7558509701333955,59.37220060417437
26,6.897498073994675,57.82668393525175
27,7.513063020078376,54.38714474022389
28,7.966475407952748,57.377454800579194
29,468.8562368081051,40.922739724967
30,469.0921227285524,42.8914185895262
31,13.60249839400148,651.4720978831377
32,12.867831634483672,566.5340490054826
33,12.583108559940326,555.8436942985741
34,11.644339596934836,506.3355606400163
35,11.949766734907211,438.88324937248336
36,12.822745727715272,398.5331946251767
37,13.824354440103084,378.4268611115732
38,14.495787573401879,347.6628630699402
39,14.102459405981927,309.594150840478
40,13.458354923596898,282.9740978365011
41,14.179540556571611,250.5465919222323
42,14.62112912827417,228.96709244340988
43,14.787250814649449,212.39610479997188
44,14.923994449235233,209.57481550654882
45,15.24553479402099,179.3780322866644
46,15.81185506604296,171.01262249445918
47,16.15826699829312,171.14701877845576
48,16.83339886188666,165.3504739608573
49,17.245769042491265,153.84243092470317
50,17.87271570370207,153.12225854373474
51,18.292229766285473,154.85890837949086
52,18.784489715797346,154.69206259386408
53,18.91119804627224,149.89291675697868
54,19.758123191276834,149.13323871380243
55,19.926091307339057,144.98897298575432
56,20.308939177194176,145.05732881005244
57,20.911838887327082,144.56117087405093
58,21.39707422674218,137.66323709636913
59,21.51022841538018,134.90724675923389
60,21.995938101630873,133.80368815236451
61,22.535764492853467,135.71471149860136
62,23.28558847969743,136.8935791346623
63,23.22257176409563,135.9385156093995
64,23.783030319162375,132.62886762884017
65,24.38695321515373,128.67191418222393
66,24.768219581272334,129.68982129439158
67,25.51525067955032,126.71745640399861
68,26.1865270067633,123.8708669689394
69,26.705315472716542,122.97230654015362
70,27.198631316382645,116.14034282564432
71,27.588779678232875,112.80975754229185
72,28.10665617789057,112.13012646890992
73,28.499605548940398,108.836567643202
74,29.022558462400415,102.2241645883367
75,29.43000573475402,94.52177684855658
76,29.724596521090973,91.36405981822342
77,29.883404227328047,89.14445693296072
78,30.29483184096227,87.23048014109924
79,30.356022011368246,84.93560616737936
80,30.687015471546594,83.83949637992686
81,31.160333941885405,82.86048063519294
82,31.128194709907238,83.87909744984151
83,31.417852609029186,82.97243765803583
84,31.672700147323162,80.26567865744457
85,32.114179579310445,75.38237053784616
86,32.683869559032615,75.13711332774767
87,32.86402043407242,71.34230478010737
88,33.62650529740446,66.56392059259841
89,34.195776603543734,61.61839885512103
90,34.3605526452134,63.008200312569855
91,34.69870342316661,63.10492939286991
92,35.214709096353715,64.64345945708257
93,35.749069083542224,63.59354106738452
94,36.58506654882737,65.4333374852913
95,36.84209821478452,66.05056527816106
96,37.37143541762911,65.9954912345551
97,37.556974422722526,67.38719585927188
98,38.08482756154099,67.92711604862181
99,38.20392726260655,65.95586398514116
100,38.736344119256245,65.33620636558192
101,39.194198728553744,66.45414877653329
102,39.682939419785335,66.48331692257625
103,40.351364159852125,65.5931400261426
104,40.659815645649964,63.743750512323274
105,41.380555976964686,62.483156452826776
106,41.83936363477628,62.660937231864466
107,42.068059101148556,64.1372486022049
108,42.24989413137475,65.73740004314173
109,42.336255272895734,67.57511793694555
110,42.49949207505922,70.75148919437581
111,42.94764242339798,70.51718015439694
112,43.261403395909994,72.80746965074434
113,43.79721767012872,73.75532620876928
114,44.11810676358298,74.79216398056153
115,44.143467491548165,77.38000964109308
116,44.26671524686148,78.51625676450273
117,44.79030965559341,80.90257312032415
118,44.538365362494076,80.70463899195207
119,45.130411345309184,83.415394420883
120,276.32927842015295,86.97347726871453
121,276.83555561630607,88.0345379919086
122,45.9901401264207,876.8593863789987
123,46.64004064214434,854.814637650503
124,47.367716794677456,783.48171491831
125,47.820784267179214,777.2819901777157
126,48.27021292137337,764.735386740679
127,48.75585909804111,681.7649694820021
128,49.321068929355704,604.6769428560891
129,49.773495885509256,550.5867659692939
130,50.10042911444308,518.1700408197862
131,50.94459094561541,483.3642939056274
132,51.48479596042176,446.48362958245906
133,51.81508045900412,408.29714990743855
134,52.11790588031434,394.15604112468304
135,52.5394192157918,382.7428431406056
136,52.80118176740671,360.71383854102305
137,53.87131056647858,350.29793748574775
138,54.18739063132844,335.5149613355997
139,54.73467244512419,308.2229029532536
140,55.13808404797786,283.05685057499426
141,55.36253171610393,253.20339211848605
142,55.553607145630274,245.69654551597736
143,56.47125295453118,230.36918009574222
144,56.66128663777424,206.2405422080595
145,57.30644757668619,195.50442744201413
146,58.27699105725794,195.64271299877066
147,281.99700012949387,169.41082937218044
148,281.881135581138,166.48347624649682
149,61.33738299109386,780.3163709432348
150,62.29316554912953,736.412464743893
151,62.703300703912994,719.0384791852878
152,64.13878840154337,679.8029567211497
