Window,Error,Variance
1,46.44963333704893,1628.34383466775
2,137.42802089636226,2178.3946769026547
3,780.734169800252,1847.2231046435118
4,922.1870089731628,2495.641963203751
5,936.2346397729483,1676.5777964624112
6,1363.1032649230729,1657.3750889052849
7,1390.225090282394,1680.4878643395148
8,1957.3120798074337,1569.666298846756
9,1611.9615504963806,1548.7903771303304
10,1608.494273736765,1601.785020375314
11,1606.602727072166,1624.8010085012143
12,1838.1756130332792,1590.0775514693084
13,1660.3645907588887,1644.9453361908445
14,1673.7791181461912,1616.084596699845
15,1841.896926790874,1698.2987695464262
