Window,Error,Variance
1,60.19431987145806,1649.174597881861
2,149.39819269349394,1876.9171052664965
3,786.2896413969378,1646.9751020717179
4,942.1685844700655,2269.911365052516
5,943.481982097385,1543.2082984053454
6,1359.7596800466404,1557.6450328896294
7,1395.2543914556368,1610.3061104808498
8,1945.8496230877727,1528.580796515682
9,1631.1615110133682,1499.1655346187742
10,1636.5808299995465,1569.816533957699
11,1643.1997439313463,1597.877982839485
12,1864.6792429173852,1602.290595667151
13,1681.686687320988,1616.1127050248008
14,1671.8320914904552,1577.994625440989
15,1829.835842957163,1600.9187985379176
