Window,Error,Variance
1,53.33042463599819,1981.2648395031879
2,139.86742938480012,2054.115703474028
3,780.0103059311011,1789.5171054518094
4,947.3181597635858,2213.768630293519
5,933.4295728538208,1626.4143681224853
6,1359.7978825324137,1623.4269825960491
7,1387.7269954655328,1664.90183375153
8,1937.81311483251,1588.2361310656697
9,1635.8903630525156,1568.3891483878767
10,1629.2106169866997,1653.6173576963024
11,1633.1048585108476,1643.0272569480742
12,1858.073988016455,1595.275560908939
13,1692.8457162321115,1642.9727631466806
14,1697.087768527065,1608.2183512326483
15,1853.6473042063042,1655.2206701103742
