Window,Error,Variance
1,53.97674199228458,2323.273766431631
2,137.14415758498168,2719.0403674075847
3,326.4489073639344,2645.520881804857
4,708.5190752807962,2476.5653015925964
5,918.5017001977511,2768.1304204174976
6,1359.262381706178,3105.936270322991
7,1359.0060188463692,3233.610177449081
8,1927.2972589111644,3325.8402805862747
9,1605.650831076522,3441.3007856784957
10,1613.5349697700183,3639.516407033427
11,1621.879190587341,3928.7469617728552
12,1834.662088021325,3934.983039241315
13,1659.2348581938918,3957.7122718940223
14,1648.5009596114824,3954.4251478466795
15,1807.648812917904,4058.17813881568
