Window,Error,Variance
1,47.90140428528939,3328.598605908049
2,129.86140464943503,4988.72218465123
3,308.6763971420004,5211.613551036517
4,690.8852837097021,5241.1206320428655
5,899.6560395643103,6297.494586614738
6,1338.2391123962782,7263.759857418847
7,1369.4820517077885,7747.529133908508
8,1923.704658873177,8618.764890134426
9,1597.4081529637865,8979.083013923217
10,1588.2207533931396,9345.59716713664
11,1587.8646991292437,9488.156657305683
12,1802.0170772557374,10128.92676195372
13,1619.024065342649,10458.443505783269
14,1615.0571510798168,10760.256356673504
15,1793.838434306913,10796.877775203395
16,2174.7886182727875,11044.750092124359
17,2099.237719098044,11580.405336333384
18,1777.3558030239453,11600.000568823716
19,1582.379282429418,11596.769180866779
20,1472.7387134783246,11389.105747685577
21,1585.8786613962588,11598.799534332613
22,1571.7245908171424,11267.335852624703
23,1695.1438976178426,11825.7552810388
24,1813.5104448355726,12552.892654227679
25,1712.9792634829823,12644.496733812057
26,1683.522092167996,12648.881457712941
27,1777.0418556528175,13385.114970199986
28,1849.8919294143348,13471.701542628463
29,1946.9655102588456,13740.933692091472
30,2159.6180461525078,13593.835208891174
31,2416.4153243862415,13683.858732642644
