Window,Error,Variance
1,54.567218763101934,2026.7268794742804
2,131.51554197832354,2721.285970974572
3,317.03783591274106,2481.7899089054845
4,711.1154929490185,2435.5244578199927
5,926.3733085689549,2682.2624018161155
6,1373.567717983098,3041.375311108651
7,1396.4689057827668,3165.276546100425
8,1952.9698527940327,3341.8435585342854
9,1628.713761657554,3416.4197016520093
10,1641.3686195825392,3506.1500812748945
11,1633.2628414465678,3690.1186472088316
12,1834.5668807545815,3725.954470335332
13,1648.2288466490613,3731.1683706615213
14,1676.397717552752,3723.5623622887283
15,1837.0263825005798,3799.575162981344
