Window,Error,Variance
1,40.4845233151261,1711.8269068966604
2,130.32692672400557,2384.535328466822
3,338.546943931422,2343.7052628048796
4,723.1315988139677,2216.148001651685
5,946.5077761733852,2351.371870236672
6,1383.8770319075522,2505.0438504165204
7,1400.4003252283558,2611.5647522683703
8,1971.4064483528355,2640.6536827194286
9,1609.1337197924636,2664.91214546817
10,1595.1455832829295,2813.3791332401765
11,1582.5836738065966,2920.0615100788077
12,1815.2011991579484,2888.5194682696983
13,1624.4514936088283,2996.8637573266565
14,1613.1869401992396,2954.934636704708
15,1775.738770292966,3022.228401314652
